collection,name,lrv,r,g,b
3D-System plus,3D Venezia 10,32,228,118,120
3D-System plus,3D Venezia 15,37,239,133,133
3D-System plus,3D Venezia 20,56,251,176,175
3D-System plus,3D Venezia 25,75,251,218,214
3D-System plus,3D Venezia 30,77,254,225,221
3D-System plus,3D Grenadin 5,6,82,54,52
3D-System plus,3D Grenadin 10,12,110,84,81
3D-System plus,3D Grenadin 15,20,135,112,108
3D-System plus,3D Grenadin 20,31,160,138,136
3D-System plus,3D Grenadin 25,45,184,170,166
3D-System plus,3D Grenadin 30,63,216,205,203
3D-System plus,3D Grenadin 35,7,104,55,50
3D-System plus,3D Grenadin 40,14,130,87,82
3D-System plus,3D Grenadin 45,22,154,116,110
3D-System plus,3D Grenadin 50,33,174,142,139
3D-System plus,3D Grenadin 55,48,199,173,169
3D-System plus,3D Grenadin 60,66,224,210,206
3D-System plus,3D Grenadin 65,9,129,54,48
3D-System plus,3D Grenadin 70,16,152,85,81
3D-System plus,3D Grenadin 75,25,172,120,112
3D-System plus,3D Grenadin 80,36,190,145,139
3D-System plus,3D Grenadin 85,52,209,177,172
3D-System plus,3D Grenadin 90,69,234,214,211
3D-System plus,3D Grenadin 95,11,151,58,56
3D-System plus,3D Grenadin 100,18,172,86,82
3D-System plus,3D Grenadin 105,27,190,121,113
3D-System plus,3D Grenadin 110,39,206,149,142
3D-System plus,3D Grenadin 115,54,223,180,174
3D-System plus,3D Grenadin 120,73,240,217,213
3D-System plus,3D Grenadin 125,13,174,54,55
3D-System plus,3D Grenadin 130,20,192,88,83
3D-System plus,3D Grenadin 135,30,209,120,113
3D-System plus,3D Grenadin 140,42,219,149,142
3D-System plus,3D Grenadin 145,57,233,184,178
3D-System plus,3D Grenadin 150,76,247,222,218
3D-System plus,3D Bordeaux 5,29,167,132,125
3D-System plus,3D Bordeaux 10,35,185,146,138
3D-System plus,3D Bordeaux 15,41,187,161,156
3D-System plus,3D Bordeaux 20,49,198,176,172
3D-System plus,3D Bordeaux 25,66,221,208,205
3D-System plus,3D Bordeaux 30,77,240,228,224
3D-System plus,3D Bordeaux 35,12,127,74,66
3D-System plus,3D Bordeaux 40,18,156,100,90
3D-System plus,3D Bordeaux 45,23,181,110,100
3D-System plus,3D Bordeaux 50,28,186,124,115
3D-System plus,3D Bordeaux 55,41,211,157,150
3D-System plus,3D Bordeaux 60,59,237,193,186
3D-System plus,3D Bordeaux 65,13,166,54,48
3D-System plus,3D Bordeaux 70,18,175,86,75
3D-System plus,3D Bordeaux 75,19,176,91,81
3D-System plus,3D Bordeaux 80,28,211,114,98
3D-System plus,3D Bordeaux 85,47,255,155,141
3D-System plus,3D Bordeaux 90,75,255,218,210
3D-System plus,3D Magma 5,8,88,62,56
3D-System plus,3D Magma 10,13,113,88,83
3D-System plus,3D Magma 15,22,139,115,112
3D-System plus,3D Magma 20,32,161,142,138
3D-System plus,3D Magma 25,46,186,170,166
3D-System plus,3D Magma 30,63,217,205,201
3D-System plus,3D Magma 35,9,111,66,55
3D-System plus,3D Magma 40,15,135,92,84
3D-System plus,3D Magma 45,24,160,122,113
3D-System plus,3D Magma 50,34,177,145,137
3D-System plus,3D Magma 55,49,201,175,169
3D-System plus,3D Magma 60,67,228,210,206
3D-System plus,3D Magma 65,10,136,69,58
3D-System plus,3D Magma 70,17,156,97,85
3D-System plus,3D Magma 75,26,176,123,111
3D-System plus,3D Magma 80,37,192,149,138
3D-System plus,3D Magma 85,52,214,178,171
3D-System plus,3D Magma 90,69,236,213,207
3D-System plus,3D Magma 95,12,154,66,52
3D-System plus,3D Magma 100,19,175,95,81
3D-System plus,3D Magma 105,28,193,127,112
3D-System plus,3D Magma 110,40,209,153,140
